user_id,username,is_anomaly,anomaly_type,severity,explanation
USR00000,pooja.murphy,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00001,daniel.singh,True,OVER_PRIVILEGED,HIGH,Standard user holds critical system access. Exceeds least-privilege principle for Compliance role.
USR00002,kenneth.moore,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00003,sanjana.li,True,OVER_PRIVILEGED,HIGH,Standard user holds critical system access. Exceeds least-privilege principle for Marketing role.
USR00004,diya.anderson,True,OVER_PRIVILEGED,HIGH,Standard user holds critical system access. Exceeds least-privilege principle for Marketing role.
USR00005,george.lim,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00006,kevin.ramirez,True,STALE_PRIVILEGED_ACCOUNT,HIGH,power-user account inactive 46 days exceeds 30d threshold. Privileged access unmonitored — verify employment status immediately.
USR00007,robert.smith,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00008,thomas.iyer,True,OVER_PRIVILEGED,HIGH,Standard user holds critical system access. Exceeds least-privilege principle for Sales role.
USR00009,aditya.burke,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00010,jacob.patel,True,SOD_VIOLATION,HIGH,Holds conflicting system access pair — violates separation of duties.
USR00011,maria.o'brien,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00012,vikram.white,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00013,jonathan.jackson,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00014,david.thomas,True,OVER_PRIVILEGED,HIGH,Standard user holds critical system access. Exceeds least-privilege principle for Support role.
USR00015,sophia.white,True,STALE_PRIVILEGED_ACCOUNT,HIGH,admin account inactive 24 days exceeds 20d threshold. Privileged access unmonitored — verify employment status immediately.
USR00016,elena.dubois,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00017,diya.schulz,True,STALE_PRIVILEGED_ACCOUNT,HIGH,power-user account inactive 46 days exceeds 30d threshold. Privileged access unmonitored — verify employment status immediately.
USR00018,meera.burke,True,STALE_PRIVILEGED_ACCOUNT,HIGH,power-user account inactive 59 days exceeds 30d threshold. Privileged access unmonitored — verify employment status immediately.
USR00019,joshua.white,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00020,karan.white,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00021,rohan.harris,True,OVER_PRIVILEGED,HIGH,Standard user holds critical system access. Exceeds least-privilege principle for Marketing role.
USR00022,harsh.patel,True,SOD_VIOLATION,HIGH,Holds conflicting system access pair — violates separation of duties.
USR00023,isha.jones,True,STALE_PRIVILEGED_ACCOUNT,HIGH,power-user account inactive 55 days exceeds 30d threshold. Privileged access unmonitored — verify employment status immediately.
USR00024,nicholas.jackson,True,OVER_PRIVILEGED,HIGH,Standard user holds critical system access. Exceeds least-privilege principle for Compliance role.
USR00025,diya.romano,True,NO_MFA_PRIVILEGED,HIGH,power-user account lacks MFA. Admin operations unprotected by second factor.
USR00026,stephen.bhat,True,SOD_VIOLATION,HIGH,Holds conflicting system access pair — violates separation of duties.
USR00027,pooja.sullivan,True,STALE_PRIVILEGED_ACCOUNT,HIGH,admin account inactive 34 days exceeds 20d threshold. Privileged access unmonitored — verify employment status immediately.
USR00028,paul.singh,True,STALE_PRIVILEGED_ACCOUNT,HIGH,admin account inactive 28 days exceeds 20d threshold. Privileged access unmonitored — verify employment status immediately.
USR00029,zainab.wagner,True,OVER_PRIVILEGED,HIGH,Standard user holds critical system access. Exceeds least-privilege principle for Support role.
USR00030,yuki.meyer,False,NONE,NONE,No anomaly detected — account within normal parameters
USR00031,amitabh.taylor,False,NONE,NONE,No anomaly detected — account within normal parameters
